ID,Date,Rank,Link,Watchface Name,Watchface Thumbnail,IsUnique,UI Style,"Graphical decoration(logo,background,screen border,container,divider,logo,design(=foreground graphic))",Color Hue (Color except balck white grey),Animation,Data Types,displayForm,Data+Display,OnlyIcon,"Watch type (Analog, Digital,Hybrid)",Sport tagged?,Number of data types,formFactor
77,2022-09-18,80,https://www.facer.io/watchface/oVtOIbnj2Z?watchModel=applewatch7black,New Watchface,,yes,flat,design;,1,no;,time;,none,none;,none;,digital,no;,0,apple
78,2022-09-18,82,https://www.facer.io/watchface/wR1DNSwGz0?watchModel=applewatch7black,Heavenly,,yes,semi-flat,background;,3,no;,time;date;day;,none,none;,none;,digital,no;,0,apple
79,2022-09-18,83,https://www.facer.io/watchface/Lwz19QQvCa?watchModel=applewatch7black,VSA | Happy Yeah,,yes,semi-flat,logo;design;,3,decoration;,time;date;day;watch battery;move value;exercise time;standing time;,text;chart+text;chart+text;chart+text;,watch battery=text;move value=chart+text;exercise time=chart+text;standing time=chart+text;,none;,digital,yes;,4,apple
80,2022-09-18,84,https://www.facer.io/watchface/z85IB8Aeir?watchModel=applewatch7black,TMJ | GloB,,yes,semi-flat,background;,1,no;,time;date;day;,none,none;,none;,digital,no;,0,apple
81,2022-09-18,85,https://www.facer.io/watchface/bmFFhi04Se?watchModel=applewatch7black,Moon,,yes,flat,container;,1,no;,time;date;steps;watch battery;,text;chart;,steps=text;watch battery=chart;,none;,digital,no;,2,apple
82,2022-09-18,86,https://www.facer.io/watchface/QB88lnfqDv?watchModel=applewatch7black,#BOO Social Media Ghost,,yes,flat,design;,1,no;,time;date;day;temperature;steps;watch battery;,text;icon+text;chart;,temperature=text;steps=icon+text;watch battery=chart;,none;,digital,no;,3,apple
83,2022-09-18,87,https://www.facer.io/watchface/TDWW6Dh6Dw?watchModel=applewatch7black,#BRAINS Social Media Zombiette,,yes,semi-flat,design;,4,no;,time;date;day;steps;heart rate;moon;weather;temperature;watch battery;,icon+text;icon+text;icon;icon;text;chart;,steps=icon+text;heart rate=icon+text;moon=icon;weather=icon;temperature=text;watch battery=chart;,weather;moon;,digital,no;,6,apple
84,2022-09-18,88,https://www.facer.io/watchface/CdQidMkyas?watchModel=applewatch7blue,Jump 2 >>>,,yes,semi-flat,container;,2,no;,time;date;steps;weather;temperature;watch battery;steps;move value;exercise time;standing time;,icon+text;icon;text;chart+text;icon+text;text;text;text;,steps=icon+text;weather=icon;temperature=text;watch battery=chart+text;steps=icon+text;move value=text;exercise time=text;standing time=text;,weather;,analog,yes;,8,apple
85,2022-09-18,89,https://www.facer.io/watchface/hDiu7JprAd?watchModel=applewatch7black,VSA 6P >>>,,yes,semi-flat,background;,1,no;,time;date;day;,none,none;,none;,digital,yes;,0,apple
86,2022-09-18,94,https://www.facer.io/watchface/LNugY93Zfk?watchModel=applewatch7black,Day/Date,,yes,semi-flat,container;,2,no;,time;date;day;moon;,icon;,moon=icon;,moon;,digital,no;,1,apple
87,2022-09-18,97,https://www.facer.io/watchface/6v90nqnDwi?watchModel=applewatch7blue2,VSA | Super W,,yes,semi-flat,logo;,5,no;,time;air quality;watch battery;,chart+text;text;,air quality=chart+text;watch battery=text;,none;,analog,no;,2,apple
88,2022-09-18,98,https://www.facer.io/watchface/6BnFHCXjIq?watchModel=applewatch4silvermilanese,Touch of Teal,,yes,flat,background;design;,2,no;,time;date;calories;steps;heart rate;watch battery;,icon+text;icon+text;icon+text;text;,calories=icon+text;steps=icon+text;heart rate=icon+text;watch battery=text;,none;,digital,no;,4,apple
89,2022-09-18,100,https://www.facer.io/watchface/EjQIKmKB9B?watchModel=applewatch4silvermilanese,Pink Burst ,,yes,flat,design;,7,no;,time;date;day;air quality;,chart+text;,air quality=chart+text;,none;,digital,no;,1,apple
90,2022-09-25,5,https://www.facer.io/watchface/R0B9UoDrWP?watchModel=applewatch7black,AUTUMN,,yes,flat,container;design;,4,no;,time;date;day;watch battery;temperature;steps;heart rate;move value;,text;text;text;text;text;,watch battery=text;temperature=text;steps=text;heart rate=text;move value=text;,none;,digital,no;,5,apple
91,2022-09-25,7,https://www.facer.io/watchface/TetRtFHfrS?watchModel=applewatchultragreen,RZAW96,,yes,flat,container;divider;,1,no;,time;date;day;watch battery;steps;distance;heart rate;calories;,chart+icon+text;text;text;text;text;,watch battery=chart+icon+text;steps=text;distance=text;heart rate=text;calories=text;,none;,digital,no;,5,apple
92,2022-09-25,8,https://www.facer.io/watchface/tAcgBS3ZLF?watchModel=applewatch4goldmilanese,MOD-422 Elegant Themes,,yes,skeuomorphism,logo;container;,1,no;,time;date;day;,none,none;,none;,hybrid,no;,0,apple
93,2022-09-25,11,https://www.facer.io/watchface/6T0uPwOO5a?watchModel=applewatchultraorange,CFW NEBULA DIGITAL 01,,yes,flat,container;divider;logo;,1,no;,time;date;day;moon;steps;calories;heart rate;location;weather;temperature;watch battery;,icon;text;icon+text;icon+text;text;icon;text;icon+text;,moon=icon;steps=text;calories=icon+text;heart rate=icon+text;location=text;weather=icon;temperature=text;watch battery=icon+text;,moon;weather;,digital,no;,8,apple
94,2022-09-25,17,https://www.facer.io/watchface/k2J1qtf7Je?watchModel=applewatchultragreen,CFW NEBULA DIGITAL 02,,yes,flat,container;divider;logo;,2,no;,time;date;day;moon;steps;calories;heart rate;weather;temperature;watch battery;distance;,icon;text;icon+text;icon+text;icon;text;chart+icon;icon+text;,moon=icon;steps=text;calories=icon+text;heart rate=icon+text;weather=icon;temperature=text;watch battery=chart+icon;distance=icon+text;,moon;weather;,digital,no;,8,apple
95,2022-09-25,23,https://www.facer.io/watchface/lsw8FrACeT?watchModel=applewatchultraorange,Pumpkin Patch II,,yes,semi-flat,design;,3,no;,time;date;day;watch battery;steps;calories;heart rate;temperature;distance;,text;chart+icon+text;icon+text;icon+text;text;text;,watch battery=text;steps=chart+icon+text;calories=icon+text;heart rate=icon+text;temperature=text;distance=text;,none;,digital,no;,6,apple
96,2022-09-25,24,https://www.facer.io/watchface/PWStTvrLiv?watchModel=applewatch4sportwhite,SPRINTER,,yes,flat,container;,0,no;,time;date;day;temperature;heart rate;steps;exercise time;,text;chart+icon+text;icon+text;text;,temperature=text;heart rate=chart+icon+text;steps=icon+text;exercise time=text;,none;,analog,no;,4,apple
97,2022-09-25,33,https://www.facer.io/watchface/9MHAqoIorV?watchModel=applewatch4sportwhite,SKY,,yes,semi-flat,container;,1,no;,time;date;day;weather;distance;steps;watch battery;,icon;text;text;text;,weather=icon;distance=text;steps=text;watch battery=text;,weather;,digital,no;,4,apple
98,2022-09-25,36,https://www.facer.io/watchface/3yd6dAgWZ8?watchModel=applewatch4sportwhite,MAGNO,,yes,flat,container;,1,no;,time;date;day;weather;temperature;steps;,icon;text;icon+text;,weather=icon;temperature=text;steps=icon+text;,weather;,analog,no;,3,apple
99,2022-09-25,40,https://www.facer.io/watchface/bBGODp1Jx9?watchModel=applewatch7black,LED Ultra Info,,yes,flat,no;,0,no;,time;date;day;watch battery;weather;location;wind direction;wind speed;temperature;calories;heart rate;steps;move value;exercise time;standing time;,chart+text;icon;text;text;text;text;icon+text;icon+text;icon+text;chart+text;chart+text;chart+text;,watch battery=chart+text;weather=icon;location=text;wind direction=text;wind speed=text;temperature=text;calories=icon+text;heart rate=icon+text;steps=icon+text;move value=chart+text;exercise time=chart+text;standing time=chart+text;,weather;,digital,no;,12,apple
100,2022-09-25,41,https://www.facer.io/watchface/1ZmxZPWohA?watchModel=applewatch7black,VSA City ,,yes,semi-flat,container;,2,no;,time;date;weather;temperature;watch battery;move value;exercise time;standing time;,icon;text;chart+text;text;text;text;,weather=icon;temperature=text;watch battery=chart+text;move value=text;exercise time=text;standing time=text;,weather;,analog,yes;,6,apple
101,2022-09-25,45,https://www.facer.io/watchface/xdfyKztyLR?watchModel=applewatch4sportwhite,PD- HAPPY SPACE,,yes,flat,container;design;,5,no;,time;date;day;temperature;weather;steps;watch battery;heart rate;,text;icon;text;text;icon+text;,temperature=text;weather=icon;steps=text;watch battery=text;heart rate=icon+text;,weather;,digital,no;,5,apple
102,2022-09-25,46,https://www.facer.io/watchface/xOA1ASK4OL?watchModel=applewatchseries8midnight,Lunar Corner,,yes,flat,container;,1,no;,time;date;day;heart rate;watch battery;moon;,icon+text;icon+text;icon;,heart rate=icon+text;watch battery=icon+text;moon=icon;,moon;,digital,no;,3,apple
103,2022-09-25,47,https://www.facer.io/watchface/SvZwB64YmS?watchModel=applewatchultraorange,TMJ Nag >,,yes,flat,background;,2,no;,time;date;day;,none,none;,none;,digital,yes;,0,apple
104,2022-09-25,50,https://www.facer.io/watchface/Bl1GKiukef?watchModel=applewatchseries8starlight,I Love Fall Gnome,,yes,flat,design;,2,no;,time;date;watch battery;temperature;steps;heart rate;calories;,text;text;icon+text;icon+text;icon+text;,watch battery=text;temperature=text;steps=icon+text;heart rate=icon+text;calories=icon+text;,none;,digital,no;,5,apple
105,2022-09-25,51,https://www.facer.io/watchface/cceVoTqMiD?watchModel=applewatch7black,It's On The Web v.2,,yes,flat,design;,1,no;,time;date;temperature;watch battery;steps;heart rate;calories;,text;text;icon+text;icon+text;icon+text;,temperature=text;watch battery=text;steps=icon+text;heart rate=icon+text;calories=icon+text;,none;,digital,no;,5,apple
106,2022-09-25,57,https://www.facer.io/watchface/JO6bl6J2OC?watchModel=applewatch7black,ST-Casual-S7,,yes,flat,container;,2,no;,time;date;day;steps;heart rate;weather;temperature;humidity;watch battery;move value;exercise time;,icon+text;icon+text;icon;text;icon+text;chart+text;text;text;,steps=icon+text;heart rate=icon+text;weather=icon;temperature=text;humidity=icon+text;watch battery=chart+text;move value=text;exercise time=text;,weather;,analog,no;,8,apple
107,2022-09-25,60,https://www.facer.io/watchface/Qgv2Ct2n3a?watchModel=applewatch7orange,I Love Fall Most,,yes,flat,design;,3,no;,time;date;watch battery;steps;heart rate;,text;icon+text;icon+text;,watch battery=text;steps=icon+text;heart rate=icon+text;,none;,digital,no;,3,apple
108,2022-09-25,65,https://www.facer.io/watchface/AbV7PyDvgG?watchModel=applewatchultraorange,VSA Full >,,yes,flat,logo;,3,no;,time;date;day;watch battery;temperature;weather;move value;exercise time;standing time;,chart+text;text;icon;chart;chart;chart;,watch battery=chart+text;temperature=text;weather=icon;move value=chart;exercise time=chart;standing time=chart;,weather;,analog,yes;,6,apple
109,2022-09-25,66,https://www.facer.io/watchface/oh7QwSDZn0?watchModel=applewatchultrastarlight,VSA | Red 5,,yes,semi-flat,logo;container;,1,no;,time;date;steps;watch battery;weather;temperature;move value;exercise time;standing time;,icon+text;chart+text;icon;text;text;text;text;,steps=icon+text;watch battery=chart+text;weather=icon;temperature=text;move value=text;exercise time=text;standing time=text;,weather;,analog,yes;,7,apple
110,2022-09-25,71,https://www.facer.io/watchface/aT7Q8n8Ieb?watchModel=applewatchultraorange,TMJ Star >,,yes,flat,design;,2,no;,time;date;day;temperature;steps;watch battery;move value;exercise time;standing time;,text;chart+text;chart+text;chart+text;chart+text;chart+text;,temperature=text;steps=chart+text;watch battery=chart+text;move value=chart+text;exercise time=chart+text;standing time=chart+text;,none;,digital,yes;,6,apple
111,2022-09-25,72,https://www.facer.io/watchface/eX4pOKDd5z?watchModel=applewatchseries8starlight,HIGH N.10 - Welcome Autumn!,,yes,semi-flat,background;,4,no;,time;date;day;weather;temperature;,text;text;,weather=text;temperature=text;,none;,digital,no;,2,apple
112,2022-09-25,73,https://www.facer.io/watchface/SMd8vAdqEp?watchModel=applewatch7black,ROBOT ,,yes,flat,container;,3,no;,time;watch battery;heart rate;steps;move value;exercise time;,chart;icon+text;chart+text;chart;chart;,watch battery=chart;heart rate=icon+text;steps=chart+text;move value=chart;exercise time=chart;,none;,digital,no;,5,apple
113,2022-09-25,87,https://www.facer.io/watchface/OzkUTmzBbl?watchModel=applewatch4sportblack,Happy Halloween ,,yes,semi-flat,design;,4,no;,time;date;day;temperature;steps;watch battery;,text;icon+text;chart;,temperature=text;steps=icon+text;watch battery=chart;,none;,digital,no;,3,apple
114,2022-09-25,94,https://www.facer.io/watchface/ZqeWAwtDgp?watchModel=applewatch7black,Devilish,,yes,semi-flat,design;,1,no;,time;date;day;temperature;steps;watch battery;,text;icon+text;chart;,temperature=text;steps=icon+text;watch battery=chart;,none;,digital,no;,3,apple
115,2022-09-25,96,https://www.facer.io/watchface/R2YPsDuA8Q?watchModel=applewatch4sportwhite,PD- MAGNETIC HEART,,yes,flat,background;container;,2,no;,time;date;day;temperature;heart rate;steps;weather;,text;icon+text;text;icon;,temperature=text;heart rate=icon+text;steps=text;weather=icon;,weather;,digital,no;,4,apple
116,2022-09-25,98,https://www.facer.io/watchface/rmAv3iTAaf?watchModel=applewatch4silvermilanese,Iris Step Counter,,yes,skeuomorphism,design;,2,no;,time;steps;,chart;,steps=chart;,none;,digital,no;,1,apple
117,2022-10-02,2,https://www.facer.io/watchface/L7zN6lCsR8?watchModel=applewatchultraorange,LCARS 3.0: Official STAR TREK™,,yes,flat,design;logo;divider;,4,no;,time;date;day;standing time;exercise time;move value;steps goal;heart rate;steps;,text;text;text;text;text;text;,standing time=text;exercise time=text;move value=text;steps goal=text;heart rate=text;steps=text;,none;,digital,no;,6,apple
118,2022-10-02,11,https://www.facer.io/watchface/WoBoJGP52x?watchModel=applewatchultragreen,MOD-445 Twilight Weather,,yes,flat,container;,0,no;,time;date;day;weather;sun;temperature;humidity;watch battery;,icon;chart+text;text;text;text;,weather=icon;sun=chart+text;temperature=text;humidity=text;watch battery=text;,weather;,digital,no;,5,apple
119,2022-10-02,13,https://www.facer.io/watchface/WfLtirYSSG?watchModel=applewatchultragreen,CFW NEBULA DIGITAL 03,,yes,flat,logo;container;,2,no;,time;date;day;moon;location;weather;temperature;wind direction;wind speed;humidity;watch battery;steps;heart rate;calories;,icon;text;icon;text;text;text;icon+text;icon+text;chart+icon+text;chart+icon+text;chart+icon;,moon=icon;location=text;weather=icon;temperature=text;wind direction=text;wind speed=text;humidity=icon+text;watch battery=icon+text;steps=chart+icon+text;heart rate=chart+icon+text;calories=chart+icon;,weather;moon;,digital,no;,11,apple
120,2022-10-02,19,https://www.facer.io/watchface/m4rxek3tgF?watchModel=applewatch4sportwhite,MOD-426 Elegant Aviator,,yes,skeuomorphism,logo;container;,1,no;,time;date;day;steps;watch battery;heart rate;,chart+text;chart+text;chart+text;,steps=chart+text;watch battery=chart+text;heart rate=chart+text;,none;,analog,no;,3,apple
121,2022-10-02,22,https://www.facer.io/watchface/uGNCPr4fNj?watchModel=applewatchseries8midnight,MOD-433 Active Moon Phase,,yes,flat,logo;container;,1,no;,time;date;day;steps;calories;moon;temperature;exercise time;standing time;,text;text;icon;chart+text;text;text;,steps=text;calories=text;moon=icon;temperature=chart+text;exercise time=text;standing time=text;,moon;,analog,no;,6,apple
122,2022-10-02,23,https://www.facer.io/watchface/CeqvRl7dNL?watchModel=applewatchultragreen,MOD-437 Active Weather,,yes,flat,logo;divider;,0,no;,time;date;day;moon;weather forecast;weather;steps;watch battery;calories;,icon+text;icon+text;icon;text;text;text;,moon=icon+text;weather forecast=icon+text;weather=icon;steps=text;watch battery=text;calories=text;,moon;weather;,digital,no;,6,apple
123,2022-10-02,24,https://www.facer.io/watchface/8F1adTMOVd?watchModel=applewatchultrastarlight,MOD-439 Active Weather,,yes,flat,container;,0,no;,time;date;day;weather;wind direction;wind speed;steps;heart rate;watch battery;,icon;chart+icon+text;chart+text;chart+text;chart+text;chart+text;,weather=icon;wind direction=chart+icon+text;wind speed=chart+text;steps=chart+text;heart rate=chart+text;watch battery=chart+text;,weather;,digital,no;,6,apple
124,2022-10-02,28,https://www.facer.io/watchface/woRFMIuYFi?watchModel=applewatch4sportwhite,MOD-427 Active Weather,,yes,semi-flat,container;,1,no;,time;day;weather;temperature;steps;heart rate;watch battery;,icon+text;text;icon+text;text;chart+text;,weather=icon+text;temperature=text;steps=icon+text;heart rate=text;watch battery=chart+text;,weather;,analog,no;,5,apple
125,2022-10-02,30,https://www.facer.io/watchface/bxHEz8GFXg?watchModel=applewatchseries8silver,MOD-431 Simple Elegance,,yes,skeuomorphism,logo;container;,1,no;,time;date;day;watch battery;,chart+text;,watch battery=chart+text;,none;,analog,no;,1,apple
126,2022-10-02,32,https://www.facer.io/watchface/rDju0RTDWf?watchModel=applewatchultrastarlight,MOD-449 Weather Watch ,,yes,flat,logo;container;divider;,1,no;,time;date;day;watch battery;weather;weather forecast;,chart+text;icon;icon+text;,watch battery=chart+text;weather=icon;weather forecast=icon+text;,weather;,digital,no;,3,apple
127,2022-10-02,35,https://www.facer.io/watchface/27wq8VrK17?watchModel=applewatchultrastarlight,MOD-443 Moon Phase ,,yes,flat,container;background;,1,no;,time;date;moon;,chart+icon;,moon=chart+icon;,none;,digital,no;,1,apple
128,2022-10-02,41,https://www.facer.io/watchface/0dvjqhi9Ig?watchModel=applewatchseries8golden,MOD-452 Weather Watch,,yes,flat,divider;container;,1,no;,time;date;day;weather;temperature;weather forecast;watch battery;steps;heart rate;distance;,icon;text;icon+text;chart+text;icon+text;text;icon+text;,weather=icon;temperature=text;weather forecast=icon+text;watch battery=chart+text;steps=icon+text;heart rate=text;distance=icon+text;,weather;,digital,no;,7,apple
129,2022-10-02,42,https://www.facer.io/watchface/R7GUR3Ex0V?watchModel=applewatch4goldmilanese,Leaves Of Color,,yes,flat,design;,4,no;,time;date;day;steps;calories;heart rate;watch battery;move value;,icon+text;icon+text;icon+text;text;text;,steps=icon+text;calories=icon+text;heart rate=icon+text;watch battery=text;move value=text;,none;,digital,no;,5,apple
130,2022-10-02,43,https://www.facer.io/watchface/a0GluNZgoQ?watchModel=applewatchultraorange,PD- CRAZY SPIDER,,yes,semi-flat,design;container;,4,no;,time;date;day;weather;steps;heart rate;,icon;icon+text;icon+text;,weather=icon;steps=icon+text;heart rate=icon+text;,weather;,digital,no;,3,apple
131,2022-10-02,46,https://www.facer.io/watchface/VE0J2X5c9w?watchModel=applewatchultragreen,MOD-442 Active Weather,,yes,flat,container;,0,no;,time;date;day;weather;steps;move value;exercise time;standing time;temperature;humidity;watch battery;,icon;chart+text;chart+text;chart+text;chart+text;text;text;text;,weather=icon;steps=chart+text;move value=chart+text;exercise time=chart+text;standing time=chart+text;temperature=text;humidity=text;watch battery=text;,weather;,digital,no;,8,apple
132,2022-10-02,55,https://www.facer.io/watchface/g3b3mGJUNA?watchModel=applewatch4sportwhite,Epoch,,yes,semi-flat,container;background;,1,no;,time;date;day;distance;steps;temperature;standing time;watch battery;heart rate;,text;text;text;text;text;text;,distance=text;steps=text;temperature=text;standing time=text;watch battery=text;heart rate=text;,none;,digital,no;,6,apple
133,2022-10-02,63,https://www.facer.io/watchface/cTZRop6vLQ?watchModel=applewatchultragreen,MOD-448 Just Time 2,,yes,flat,no;,0,no;,time;,none,none;,none;,digital,no;,0,apple
134,2022-10-02,65,https://www.facer.io/watchface/JaJpQ2SKez?watchModel=applewatch7black,Harvest Time,,yes,flat,container;design;,2,no;,time;date;day;steps;heart rate;temperature;watch battery;,text;text;text;text;,steps=text;heart rate=text;temperature=text;watch battery=text;,none;,digital,no;,4,apple
135,2022-10-02,66,https://www.facer.io/watchface/TojcXicrjY?watchModel=applewatchultrastarlight,MOD-444 Just Time,,yes,flat,no;,1,no;,time;,none,none;,none;,hybrid,no;,0,apple
136,2022-10-02,68,https://www.facer.io/watchface/QhG5NsMQZj?watchModel=applewatchultrastarlight,RZ DinoRex,,yes,semi-flat,design;,1,no;,time;date;day;,none,none;,none;,digital,no;,0,apple
137,2022-10-02,70,https://www.facer.io/watchface/xdfyKztyLR?watchModel=applewatch4sportwhite,PD- HAPPY SPACE,,yes,flat,design;container;,5,no;,time;date;day;temperature;weather;steps;watch battery;heart rate;,text;icon;text;text;icon+text;,temperature=text;weather=icon;steps=text;watch battery=text;heart rate=icon+text;,none;,digital,no;,5,apple
138,2022-10-02,76,https://www.facer.io/watchface/TudU9c7SpO?watchModel=applewatch4sportwhite,Twist,,yes,semi-flat,container;,1,no;,time;steps;weather;temperature;heart rate;,icon;text;chart+text;,weather=icon;temperature=text;heart rate=chart+text;,weather;,hybrid,no;,3,apple
139,2022-10-02,77,https://www.facer.io/watchface/lVhJNJH1uc?watchModel=applewatch4sportwhite,Mango,,yes,semi-flat,background;,4,no;,time;,none,none;,none;,digital,no;,0,apple
140,2022-10-02,78,https://www.facer.io/watchface/k4gAFFHSgx?watchModel=applewatchultrastarlight,MOD-450 P51 Mustang,,yes,flat,design;,1,no;,time;date;day;watch battery;heart rate;steps;,chart+text;chart+text;chart+text;,watch battery=chart+text;heart rate=chart+text;steps=chart+text;,none;,digital,no;,3,apple
141,2022-10-02,82,https://www.facer.io/watchface/kXGcTkFqmT?watchModel=applewatch7black,DamLeaf,,yes,semi-flat,background;container;,3,no;,time;date;day;watch battery;heart rate;steps;,icon+text;icon+text;icon+text;,watch battery=icon+text;heart rate=icon+text;steps=icon+text;,none;,digital,no;,3,apple
142,2022-10-02,84,https://www.facer.io/watchface/aA06q2YLDN?watchModel=applewatchseries8midnight,Fall Aglow,,yes,semi-flat,design;container;,2,no;,time;date;steps;heart rate;watch battery;move value;temperature;,icon+text;icon+text;icon+text;text;text;,steps=icon+text;heart rate=icon+text;watch battery=icon+text;move value=text;temperature=text;,none;,digital,no;,5,apple
143,2022-10-02,88,https://www.facer.io/watchface/P167Kk3edV?watchModel=applewatchultrastarlight,MOD-451 Starlight Monster,,yes,skeuomorphism,background;,1,no;,time;date;day;,none,none;,none;,digital,no;,0,apple
144,2022-10-02,96,https://www.facer.io/watchface/wFxIYbzDNK?watchModel=applewatchultrastarlight,MOD-447 Little Unicorn,,yes,semi-flat,background;,2,no;,time;,none,none;,none;,digital,no;,0,apple
145,2022-10-09,15,https://www.facer.io/watchface/LRBqJj4Jff?watchModel=applewatchseries8midnight,MOD-470 Active Weather,,yes,skeuomorphism,container;,1,no;,time;weather;temperature;humidity;watch battery;steps;move value;exercise time;standing time;,icon;text;text;text;text;text;text;text;,weather=icon;temperature=text;humidity=text;watch battery=text;steps=text;calories=text;exercise time=text;standing time=text;,weather;,analog,no;,8,apple
146,2022-10-09,21,https://www.facer.io/watchface/s1DSbDMzFa?watchModel=applewatchultrastarlight,MOD-441,,yes,flat,container;,1,no;,time;steps;,chart+text;,steps=chart+text;,none;,digital,no;,1,apple
147,2022-10-09,22,https://www.facer.io/watchface/MhGfSVURhu?watchModel=applewatch7black,Spooky Vibes,,yes,skeuomorphism,container;,7,no;,time;date;day;watch battery;weather;temperature;steps;heart rate;move value;standing time;,text;icon;text;chart+text;text;text;text;,watch battery=text;weather=icon;temperature=text;steps=chart+text;heart rate=text;move value=text;standing time=text;,weather;,digital,no;,7,apple
148,2022-10-09,30,https://www.facer.io/watchface/GBE1G3WLWl?watchModel=applewatchseries8midnight,MOD-463 Ceramic Californian,,yes,semi-flat,no;,1,no;,time;moon;,icon;,moon=icon;,moon;,hybrid,no;,1,apple
149,2022-10-09,33,https://www.facer.io/watchface/YDUOkFeQBN?watchModel=applewatchultraorange,Slats and Stats AW 7+,,yes,semi-flat,design;container;,4,no;,time;date;watch battery;steps;heart rate;temperature;weather;,text;text;text;text;text;,watch battery=text;steps=text;heart rate=text;temperature=text;weather=text;,none;,digital,no;,5,apple
150,2022-10-09,34,https://www.facer.io/watchface/lSyKaC93Rp?watchModel=applewatch4sportblack,Slideshow Halloween Night,,yes,flat,background;,2,no;,time;date;day;,none,none;,none;,digital,no;,0,apple
151,2022-10-09,36,https://www.facer.io/watchface/gcS85LsRjA?watchModel=applewatchseries8midnight,MOD-456 Active Style,,yes,semi-flat,background;,1,no;,time;date;day;steps;heart rate;wind direction;wind speed;,icon+text;text;text;text;,steps=icon+text;heart rate=text;wind direction=text;wind speed=text;,none;,analog,no;,4,apple
152,2022-10-09,37,https://www.facer.io/watchface/zBPj3QIdUw?watchModel=applewatchseries8silver,MOD-460 Elegant Weather,,yes,skeuomorphism,container;,1,no;,time;date;day;weather;temperature;watch battery;steps;heart rate;,icon;text;chart+text;icon+text;text;,weather=icon;temperature=text;watch battery=chart+text;steps=icon+text;heart rate=text;,weather;,analog,no;,5,apple
153,2022-10-09,38,https://www.facer.io/watchface/3c1rNFrC1M?watchModel=applewatchultragreen,CFW LAYERED DIGITAL 01,,yes,flat,logo;,1,no;,time;date;day;moon;steps;heart rate;watch battery;location;weather;temperature;wind direction;wind speed;,icon;text;text;text;text;text;text;text;text;,moon=icon;steps=text;heart rate=text;watch battery=text;location=text;weather=text;temperature=text;wind direction=text;wind speed=text;,moon;,digital,no;,9,apple
154,2022-10-09,42,https://www.facer.io/watchface/R5HAMCi0CL?watchModel=applewatchultraorange,VSA S7,,yes,semi-flat,logo;,5,no;,time;date;day;watch battery;weather;temperature;move value;exercise time;standing time;,chart;icon;text;chart;chart;chart;,watch battery=chart;weather=icon;temperature=text;move value=chart;exercise time=chart;standing time=chart;,weather;,analog,yes;,6,apple
155,2022-10-09,43,https://www.facer.io/watchface/qJpWDdE6gA?watchModel=applewatchseries8midnight,MOD-467 Weather Watch,,yes,flat,container;divider;,1,no;,time;date;day;watch battery;weather;weather forecast;,chart+text;icon;icon+text;,watch battery=chart+text;weather=icon;weather forecast=icon+text;,weather;,digital,no;,3,apple
156,2022-10-09,44,https://www.facer.io/watchface/RpNCJ6Jvs4?watchModel=applewatch7orange,October Gnome,,yes,flat,design;,3,no;,time;date;day;temperature;steps;move value;heart rate;watch battery;,text;text;text;icon+text;text;,temperature=text;steps=text;move value=text;heart rate=icon+text;watch battery=text;,none;,digital,no;,5,apple
157,2022-10-09,45,https://www.facer.io/watchface/WznhMJBq8G?watchModel=applewatch4sportblack,Slats and Stats,,yes,semi-flat,design;container;,3,no;,time;date;day;watch battery;steps;heart rate;calories;,chart+text;icon+text;icon+text;icon+text;,watch battery=chart+text;steps=icon+text;heart rate=icon+text;calories=icon+text;,none;,digital,no;,4,apple
158,2022-10-09,51,https://www.facer.io/watchface/Xz9taYgPNh?watchModel=applewatchultrastarlight,MOD-473 Sopwith Camel,,yes,skeuomorphism,container;logo;,1,no;,time;date;day;watch battery;steps;,chart+text;chart+text;,watch battery=chart+text;steps=chart+text;,none;,analog,no;,2,apple
159,2022-10-09,52,https://www.facer.io/watchface/wPQOLykCEJ?watchModel=applewatchseries8midnight,MOD-462 Elegant Activity,,yes,skeuomorphism,container;logo;,1,no;,time;date;day;watch battery;steps;heart rate;,chart+text;chart+text;chart+text;,watch battery=chart+text;steps=chart+text;heart rate=chart+text;,none;,analog,no;,3,apple
160,2022-10-09,53,https://www.facer.io/watchface/cgXcVJCkZH?watchModel=applewatchseries8midnight,MOD-472 Active Weather,,yes,flat,container;divider;,1,no;,time;date;day;watch battery;weather forecast;steps;heart rate;calories;,text;icon+text;text;text;text;,watch battery=text;weather forecast=icon+text;steps=text;heart rate=text;calories=text;,none;,digital,no;,5,apple
161,2022-10-09,54,https://www.facer.io/watchface/aZufSXqawD?watchModel=applewatch7black,Dashboard,,yes,semi-flat,container;,3,no;,time;date;heart rate;steps;distance;exercise time;watch battery;weather;temperature;location;,chart+icon+text;chart+icon+text;text;text;chart+icon+text;icon;text;text;,heart rate=chart+icon+text;steps=chart+icon+text;distance=text;exercise time=text;watch battery=chart+icon+text;weather=icon;temperature=text;location=text;,weather;,digital,no;,8,apple
162,2022-10-09,55,https://www.facer.io/watchface/TAaQhRKJLA?watchModel=applewatchultraorange,PD- SPACE TIME,,yes,flat,design;container;,5,no;,time;date;day;watch battery;weather;heart rate;steps;,chart+icon;icon;icon+text;text;,watch battery=chart+icon;weather=icon;heart rate=icon+text;steps=text;,weather;,digital,no;,4,apple
