ID,Date,Rank,Link,Watchface Name,Watchface Thumbnail,IsUnique,UI Style,"Graphical decoration(logo,background,screen border,container,divider,logo,design(=foreground graphic))",Color Hue (Color except balck white grey),Animation,Data Types,displayForm,Data+Display,OnlyIcon,"Watch type (Analog, Digital,Hybrid)",Sport tagged?,Number of data types,formFactor
28,2022-09-18,28,https://www.facer.io/watchface/ATNWppvro3?watchModel=applewatch4sportwhite,BRAVE,,yes,semi-flat,container;,0,no;,time;date;day;weather;temperature;watch battery;steps;,icon;text;text;text;,weather=icon;temperature=text;watch battery=text;steps=text;,weather;,analog,no;,4,apple
29,2022-09-18,29,https://www.facer.io/watchface/KevNFHKPbj?watchModel=applewatch4sportwhite,MOD-417 Bold Day/Date,,yes,semi-flat,container;logo;,1,no;,time;date;day;,none,none;,none;,digital,no;,0,apple
30,2022-09-18,30,https://www.facer.io/watchface/ZzIpx1pJuz?watchModel=applewatch4goldmilanese,Whispering Fall,,yes,flat,design;,2,no;,time;date;day;calories;steps;heart rate;temperature;watch battery;,icon+text;icon+text;icon+text;text;text;,calories=icon+text;steps=icon+text;heart rate=icon+text;temperature=text;watch battery=text;,none;,digital,no;,5,apple
31,2022-09-18,31,https://www.facer.io/watchface/NWZiVyuJyV?watchModel=applewatch4sportwhite,MOD-424 Active Lifestyle,,yes,flat,container;,0,no;,time;date;day;watch battery;calories;exercise time;standing time;wind direction;wind speed;,chart+text;chart+text;chart+text;chart+text;chart+text;chart+text;,watch battery=chart+text;calories=chart+text;exercise time=chart+text;standing time=chart+text;wind direction=chart+text;wind speed=chart+text;,none;,digital,no;,6,apple
32,2022-09-18,32,https://www.facer.io/watchface/9ukzRq3SJK?watchModel=applewatch4sportwhite,MOD-421 Lifestyle,,yes,skeuomorphism,container;logo;,2,no;,time;date;day;watch battery;heart rate;steps;,chart+text;chart+text;chart+text;,watch battery=chart+text;heart rate=chart+text;steps=chart+text;,none;,analog,no;,3,apple
33,2022-09-18,33,https://www.facer.io/watchface/5CqoObCnaP?watchModel=applewatch4sportwhite,MOD-423 P51 Mustang,,yes,flat,container;design;,2,no;,time;date;day;watch battery;heart rate;steps;,chart+text;chart+text;chart+text;,watch battery=chart+text;heart rate=chart+text;steps=chart+text;,none;,digital,no;,3,apple
34,2022-09-18,34,https://www.facer.io/watchface/JmTBO9xIyB?watchModel=applewatch4sportwhite,MOD-410 Active Solar,,yes,semi-flat,container;,1,no;,time;date;day;steps;calories;exercise time;standing time;,text;text;text;text;,steps=text;calories=text;exercise time=text;standing time=text;,none;,hybrid,no;,4,apple
35,2022-09-18,35,https://www.facer.io/watchface/OfZeorXm9z?watchModel=applewatch7black,#FRIEND Social Media Frank,,yes,flat,container;design;,2,no;,time;date;day;steps;heart rate;temperature;weather;watch battery;,icon+text;icon+text;text;icon;chart;,steps=icon+text;heart rate=icon+text;temperature=text;weather=icon;watch battery=chart;,weather;,digital,no;,5,apple
36,2022-09-18,36,https://www.facer.io/watchface/OBkjjktssn?watchModel=applewatch7orange,Fab-Boo-Lous,,yes,flat,container;design;,4,no;,time;date;day;watch battery;temperature;weather;steps;heart rate;standing time;move value;,icon+text;text;text;text;text;text;text;,watch battery=icon+text;temperature=text;weather=text;steps=text;heart rate=text;standing time=text;move value=text;,none;,digital,no;,7,apple
37,2022-09-18,37,https://www.facer.io/watchface/0FooVkvmLp?watchModel=applewatch4sportwhite,PD- RAINBOW 003,,yes,semi-flat,container;background;,5,no;,time;date;day;heart rate;temperature;steps;weather;watch battery;,icon+text;text;text;icon;chart+text;,heart rate=icon+text;temperature=text;steps=text;weather=icon;watch battery=chart+text;,weather;,digital,no;,5,apple
